category,variant,train_regime,eval_regime,target_scope,metric_semantics,runs,auc_mean,auc_sd,auc_min,auc_max,balanced_accuracy_mean,balanced_accuracy_sd,ks_mean,ks_sd,delta_auc_vs_baseline_mean,delta_ba_vs_baseline_mean
solvents,baseline_hard_negative,property_matched,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.68,0.0,0.68,0.68,0.68,0.0,0.36,0.0,0.0,0.0
solvents,all_other_random,all_other_random,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.3,0.0,0.3,0.3,0.5,0.0,0.4,0.0,-0.38,-0.18
solvents,related_hard,related_hard,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.305,0.0,0.305,0.305,0.5,0.0,0.4,0.0,-0.375,-0.18
endocrine_disruptors,baseline_hard_negative,property_matched,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.26,0.0,0.26,0.26,0.52,0.0,0.52,0.0,0.0,0.0
endocrine_disruptors,category_prior_hard_negative,property_matched,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.22,0.0,0.22,0.22,0.5,0.0,0.56,0.0,-0.04,-0.02
endocrine_disruptors,all_other_random,all_other_random,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.3857,0.0,0.3857,0.3857,0.505,0.0,0.2767,0.0,0.1257,-0.015
endocrine_disruptors,all_other_random_category_prior,all_other_random,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.3857,0.0,0.3857,0.3857,0.505,0.0,0.2767,0.0,0.1257,-0.015
endocrine_disruptors,related_hard,related_hard,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.24,-0.02
endocrine_disruptors,related_hard_category_prior,related_hard,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.4533,0.0,0.4533,0.4533,0.5733,0.0,0.24,0.0,0.1933,0.0533
surfactants,baseline_hard_negative,property_matched,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.56,0.0,0.56,0.56,0.56,0.0,0.12,0.0,0.0,0.0
surfactants,category_prior_hard_negative,property_matched,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.445,0.0,0.445,0.445,0.54,0.0,0.2667,0.0,-0.115,-0.02
surfactants,all_other_random,all_other_random,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.524,0.0,0.524,0.524,0.615,0.0,0.23,0.0,-0.036,0.055
surfactants,all_other_random_category_prior,all_other_random,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.576,0.0,0.576,0.576,0.64,0.0,0.28,0.0,0.016,0.08
surfactants,related_hard,related_hard,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.524,0.0,0.524,0.524,0.615,0.0,0.23,0.0,-0.036,0.055
surfactants,related_hard_category_prior,related_hard,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.576,0.0,0.576,0.576,0.64,0.0,0.28,0.0,0.016,0.08
surfactants,surfactants_native_pesticide_negatives,choi_native_pesticides_negative_source,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.5863,0.0,0.5863,0.5863,0.655,0.0,0.31,0.0,0.0263,0.095
surfactants,surfactants_native_pesticide_negatives_category_prior,choi_native_pesticides_negative_source,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,1,0.5807,0.0,0.5807,0.5807,0.655,0.0,0.31,0.0,0.0207,0.095
