category,variant,seed,train_regime,eval_regime,target_scope,metric_semantics,positive_count,train_negative_source_count,negative_count,auc,ks,balanced_accuracy,overlap,threshold,best_w,optimization_method,category_prior_used,prior_source,prior_motifs,model_path
food_additives,all_other_random_category_prior,11,all_other_random,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.1323,0.76,0.5233,0.1916,0.8589,0.4874,lee_tpe_bayesian,True,data/models/pubchem_food_additives.json broad Choi pattern evidence,aldehyde;cinnamate;ester,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\food_additives\all_other_random_category_prior\seed_11\model.json
food_additives,related_hard,11,related_hard,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.52,0.04,0.52,0.0,1.0,0.0,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\food_additives\related_hard\seed_11\model.json
food_additives,related_hard_category_prior,11,related_hard,property_matched,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,60,0.232,0.68,0.5633,0.2174,0.6309,0.4874,lee_tpe_bayesian,True,data/models/pubchem_food_additives.json broad Choi pattern evidence,aldehyde;cinnamate;ester,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\food_additives\related_hard_category_prior\seed_11\model.json
flavoring_agents,baseline_hard_negative,11,audited_hard_negative,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,25,4,4,0.66,0.32,0.66,0.0,0.125,0.0,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\flavoring_agents\baseline_hard_negative\seed_11\model.json
flavoring_agents,category_prior_hard_negative,11,audited_hard_negative,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,25,4,4,0.28,0.68,0.62,0.0,0.5127,0.45,grid_w_objective_fallback,True,data/models/pubchem_flavoring_agents.json broad Choi pattern evidence,ester;aldehyde;cinnamate,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\flavoring_agents\category_prior_hard_negative\seed_11\model.json
flavoring_agents,all_other_random,11,all_other_random,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,4,0.44,0.36,0.62,0.0,0.2012,0.05,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\flavoring_agents\all_other_random\seed_11\model.json
flavoring_agents,all_other_random_category_prior,11,all_other_random,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,4,0.24,0.72,0.6,0.0,0.8153,0.75,grid_w_objective_fallback,True,data/models/pubchem_flavoring_agents.json broad Choi pattern evidence,ester;aldehyde;cinnamate,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\flavoring_agents\all_other_random_category_prior\seed_11\model.json
flavoring_agents,related_hard,11,related_hard,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,4,0.28,0.44,0.5,0.0,0.5,1.0,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\flavoring_agents\related_hard\seed_11\model.json
flavoring_agents,related_hard_category_prior,11,related_hard,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,4,0.2,0.76,0.58,0.0,0.9887,0.95,grid_w_objective_fallback,True,data/models/pubchem_flavoring_agents.json broad Choi pattern evidence,ester;aldehyde;cinnamate,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\flavoring_agents\related_hard_category_prior\seed_11\model.json
lipids,baseline_hard_negative,11,audited_hard_negative,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,25,18,18,0.7656,0.5222,0.7611,0.0429,0.05,0.05,grid_w_objective_fallback,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\lipids\baseline_hard_negative\seed_11\model.json
lipids,category_prior_hard_negative,11,audited_hard_negative,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,25,18,18,0.8811,0.6333,0.8167,0.4838,0.3756,0.2,grid_w_objective_fallback,True,data/models/pubchem_lipids.json broad Choi pattern evidence,long_chain;glycol;ester;cinnamate,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\lipids\category_prior_hard_negative\seed_11\model.json
lipids,all_other_random,11,all_other_random,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,18,0.5889,0.3444,0.6722,0.6763,0.7943,0.4874,lee_tpe_bayesian,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\lipids\all_other_random\seed_11\model.json
lipids,all_other_random_category_prior,11,all_other_random,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,18,0.5889,0.3444,0.6722,0.6763,0.7943,0.4874,lee_tpe_bayesian,True,data/models/pubchem_lipids.json broad Choi pattern evidence,long_chain;glycol;ester;cinnamate,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\lipids\all_other_random_category_prior\seed_11\model.json
lipids,related_hard,11,related_hard,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,18,0.61,0.2644,0.6322,0.6998,0.8445,0.4874,lee_tpe_bayesian,False,,,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\lipids\related_hard\seed_11\model.json
lipids,related_hard_category_prior,11,related_hard,audited_hard_negative,broad_category,external_eval_metrics_against_eval_regime_negatives,25,60,18,0.61,0.2644,0.6322,0.6998,0.8445,0.4874,lee_tpe_bayesian,True,data/models/pubchem_lipids.json broad Choi pattern evidence,long_chain;glycol;ester;cinnamate,D:\DSWU\2026_기말고사\algorithm_paper_app\app\output\g005_remaining_category_improvement\lipids\related_hard_category_prior\seed_11\model.json
