category,hnid,pubchem_cid_count,unique_smiles_count
animal_drugs,12950173,907,859
human_drugs,12950172,3943,3749
cosmetics,12950174,3841,3665
flavoring_agents,17821330,2444,2316
food_additives,12946439,2960,2809
food_contact_substances,17227309,1945,1910
fragrances,12950244,2548,2286
pesticides,12950176,2973,2847
solvents,13315352,632,605
surfactants,13589650,268,268
