category,seed,regime,unrepaired_negative_count_before_audit,repaired_negative_count_after_audit,excluded_negative_count_by_audit,property_matched_pool_count,property_matched_unique_count,retained_count,category_specific_dual_use,near_positive_tanimoto,retained_audited_hard_negatives,near_positive_tanimoto_threshold,dual_use_categories
cosmetics,11,audited_hard_negative,600,293,307,600,526,293,213,4,293,0.85,flavoring_agents;food_additives;food_contact_substances;fragrances;lipids;surfactants
food_contact_substances,11,audited_hard_negative,600,295,305,600,514,295,198,1,295,0.85,cosmetics;flavoring_agents;food_additives;lipids;plasticizers
