canonical_smiles
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
O=C(O)c1ccc(O)c(O)c1
O=Cc1ccc(O)cc1
CC=O
c1ccccc1
Oc1cccc(-c2ccccc2)c1O
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
O=c1ccc2ccccc2o1
O=C(O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1
CCCCCCCC
Oc1cc(O)cc(O)c1
O=C(O)c1cc(O)c(O)c(O)c1
Nc1ccc(O)cc1
O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O
CCC=O
[O-][As]([O-])[O-]
CCO
C=O
NC=O
C#N
II
CCC=CCC=CCC=CCCCCCCCC(=O)O
CO
O=[N+]([O-])[O-]
[N-]=[N+]=O
CCCCCCCCC=CCCCCCCCC(=O)O
O=[N+]([O-])c1ccc(O)cc1
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
O=CCc1ccccc1
O=P(O)(O)O
NC(=O)c1cnccn1
Oc1cccc(O)c1O
Cc1ccccc1
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2
Oc1c(Br)cc(Br)cc1Br
O=C(O)COc1ccc(Cl)cc1Cl
O=C(O)CCCOc1ccc(Cl)cc1Cl
O=C(O)c1ccc(O)cc1O
CNC(C)Cc1ccc2c(c1)OCO2
Nc1ncn[nH]1
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3
COc1cc(C2c3cc4c(cc3CC3COC(=O)C32)OCO4)cc(OC)c1O
Cc1cc(O)ccc1Cl
NNC(=O)c1ccc(O)cc1
CCCCCCCCCc1ccc(O)cc1
CC1(c2ccc(Oc3ccccc3)cc2)C(=O)NC(=O)NC1=O
O=c1cc(-c2ccccc2)oc2c(O)c(O)ccc12
O=C1CC(c2ccc(O)cc2)Oc2cc(O)ccc21
COc1c(O)ccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3
C=CCN(C)CCCCCCOc1ccc(C(=O)c2ccc(Br)cc2)c(F)c1
COP(=O)(NC(C)=O)SC
CC(=O)Nc1ccc(O)cc1
